year,state,main_species_group,species_name,live_weight,landed_weight
2002,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),709.5,645
2002,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),912,912
2002,CAMPECHE,TIBURON,CORNUDA FILETE DE FCO. (SPHYRNA ZYGAENA),320,160
2002,CAMPECHE,TIBURON,GATA DESV. FCA.,2361.6999999999994,2147
2002,CAMPECHE,TIBURON,GATA DESV. Y DESC. FCA.,90,60
2002,CAMPECHE,TIBURON,GATA ENT. FCA.,1454,1454
2002,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,57464,57464
2002,CAMPECHE,TIBURON,PEZ MARTILLO ENT. FCO. (SPHYRNA LEWINI),560,560
2002,CAMPECHE,TIBURON,TIBURON DESV. FCO.,44189.2,40172
2002,CAMPECHE,TIBURON,TIBURON ENT. FCO.,32643,32643
2002,TABASCO,CAZON,CAZON ENT. FCO.,207332,207332
2002,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),8043,8043
2002,TABASCO,TIBURON,GATA ENT. FCA.,173,173
2002,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,8972,8972
2002,TABASCO,TIBURON,TIBURON ENT. FCO.,52108,52108
2002,TABASCO,TIBURON,TINTORERA ENT. FCA.,225,225
2002,TABASCO,TIBURON,TRIPA ENT. FCA.,791,791
2002,TAMAULIPAS,CAZON,CAZON DESV. FCO.,116360.20000000004,105782
2002,TAMAULIPAS,CAZON,CAZON ENT. FCO.,798756,798756
2002,TAMAULIPAS,TIBURON,ANGELITO DESV. FCO. (SQUATINA SQUATINA),220,200
2002,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),150,150
2002,TAMAULIPAS,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),30.8,28
2002,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),886,886
2002,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,19310.5,17555
2002,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,579868,579868
2002,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,614,614
2002,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,19298.399999999994,17544
2002,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,62609,62609
2002,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,5039,5039
2002,VERACRUZ,CAZON,CAZON ENT. FCO.,263524,263524
2002,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),64881,64881
2002,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),4516,4516
2002,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,808.5,539
2002,VERACRUZ,TIBURON,TIBURON ENT. FCO.,455443,455443
2002,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),90672,90672
2002,VERACRUZ,TIBURON,TRIPA ENT. FCA.,103894,103894
2002,YUCATAN,CAZON,CAZON DESV. FCO.,151174.09999999983,137431
2002,YUCATAN,CAZON,CAZON ENT. FCO.,1662,1662
2002,YUCATAN,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),866,866
2002,YUCATAN,TIBURON,GATA DESV. FCA.,1996.5,1815
2002,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,20227.5,13485
2002,YUCATAN,TIBURON,JAQUETON ENT. FCO.,34,34
2002,YUCATAN,TIBURON,TIBURON ENT. FCO.,86081,86081
2002,YUCATAN,TIBURON,TINTORERA DESV. Y DESC. FCA.,300,200
2002,YUCATAN,TIBURON,TINTORERA ENT. FCA.,6113,6113
2003,CAMPECHE,CAZON,CAZON DE LEY DESV. FCO.,209,190
2003,CAMPECHE,CAZON,CAZON DESV. FCO.,235844.40000000017,214404
2003,CAMPECHE,CAZON,CAZON DESV. Y DESC. FCO.,22.5,18
2003,CAMPECHE,CAZON,CAZON ENT. FCO.,182911,182911
2003,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),1261.7000000000003,1147
2003,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),4524,4524
2003,CAMPECHE,TIBURON,GATA DESV. FCA.,2023.9999999999998,1840
